"field_fvid","year","potato_intensity_classic","potato_intensity_weighted"
62992,2014,0.0287119367741365,0.03342507635108
62992,2015,0.0287119367741365,0.0238544307597011
62992,2016,0.0146836828330295,0.0148087455531362
62992,2017,0.0370270806147298,0.0472381023454458
62992,2018,0.0369506513242929,0.035023124291264
62992,2019,0.0235873828110944,0.0240422849294623
62992,2020,0.0444497457804905,0.0509504289414243
62992,2021,0.0462173700590175,0.0396048478636197
62992,2022,0.0251429455319566,0.026398934702165
62992,2023,0.049339708734746,0.0584732736802234
62992,2024,0.0485380820869685,0.0420267041019747
62996,2014,0.101800540739952,0.0934502718894879
62996,2015,0.0921604195745081,0.0900410451799321
62996,2016,0.101917892320261,0.0980875398599385
62996,2017,0.0907947229170658,0.0840407343469894
62996,2018,0.0912967433940886,0.104892963886472
62996,2019,0.107664122472618,0.113567036361892
62996,2020,0.101967432690428,0.098708799437799
62996,2021,0.0965482038994688,0.0944542417608992
62996,2022,0.0846436616034771,0.0623564285615615
62996,2023,0.089985263075567,0.0941616809923898
62996,2024,0.0756348158650527,0.0793555015564602
62999,2014,0.0701530289802226,0.0744855386560455
62999,2015,0.104244647928927,0.122788404348399
62999,2016,0.0931404693978723,0.0935659899249779
62999,2017,0.0932423751184574,0.100521508427202
62999,2018,0.113738440310212,0.10854703699557
62999,2019,0.0954073602729956,0.0753248185324744
62999,2020,0.0797946585447665,0.0891884042468548
62999,2021,0.0970641331712176,0.0968984439955725
62999,2022,0.0743646339108935,0.0647135758061417
62999,2023,0.0712144721247045,0.0737814151333824
62999,2024,0.0832528739157933,0.0747978557172706
63009,2014,0.0946345078795939,0.0902418065417565
63009,2015,0.127185437768477,0.127123013151174
63009,2016,0.111846406858351,0.112564821657586
63009,2017,0.0957651786615593,0.1018134560043
63009,2018,0.10903481845361,0.105850039613813
63009,2019,0.134804599528228,0.135427355881605
63009,2020,0.108778330426052,0.115541416771186
63009,2021,0.122602514045848,0.130159233758065
63009,2022,0.136216438696693,0.138512373460355
63009,2023,0.130434863668407,0.119429245344348
63009,2024,0.117160278654276,0.119748904850324
63016,2014,0.0377555412401928,0.0338174719254781
63016,2015,0.0372777994223231,0.0290026027068305
63016,2016,0.0208709784078346,0.0170012767351682
