"field_fvid","year","potato_prop_classic","potato_prop_weighted"
62992,2014,0.4,0.466666666666667
62992,2015,0.4,0.333333333333333
62992,2016,0.2,0.2
62992,2017,0.4,0.466666666666667
62992,2018,0.4,0.333333333333333
62992,2019,0.2,0.2
62992,2020,0.4,0.466666666666667
62992,2021,0.4,0.333333333333333
62992,2022,0.2,0.2
62992,2023,0.4,0.466666666666667
62992,2024,0.4,0.333333333333333
62995,2014,0.4,0.333333333333333
62995,2015,0.2,0.2
62995,2016,0.4,0.466666666666667
62995,2017,0.4,0.333333333333333
62995,2018,0.2,0.2
62995,2019,0.4,0.466666666666667
62995,2020,0.4,0.333333333333333
62995,2021,0.2,0.2
62995,2022,0.2,0.133333333333333
62995,2023,0.4,0.4
62995,2024,0.2,0.266666666666667
62996,2014,0.2,0.133333333333333
62996,2015,0.2,0.0666666666666667
62996,2016,0,0
62996,2017,0,0
62996,2018,0.2,0.333333333333333
62996,2019,0.2,0.266666666666667
62996,2020,0.2,0.2
62996,2021,0.2,0.133333333333333
62996,2022,0.2,0.0666666666666667
62996,2023,0,0
62996,2024,0,0
62999,2014,0.4,0.466666666666667
62999,2015,0.6,0.666666666666667
62999,2016,0.4,0.466666666666667
62999,2017,0.6,0.666666666666667
62999,2018,0.6,0.466666666666667
62999,2019,0.4,0.266666666666667
62999,2020,0.4,0.466666666666667
62999,2021,0.4,0.333333333333333
62999,2022,0.2,0.2
62999,2023,0.2,0.133333333333333
62999,2024,0.4,0.4
63001,2014,0.2,0.266666666666667
63001,2015,0.2,0.2
63001,2016,0.4,0.466666666666667
63001,2017,0.4,0.333333333333333
63001,2018,0.2,0.2
63001,2019,0.4,0.466666666666667
63001,2020,0.4,0.333333333333333
63001,2021,0.2,0.2
63001,2022,0.4,0.466666666666667
63001,2023,0.4,0.333333333333333
63001,2024,0.2,0.2
63003,2014,0.4,0.333333333333333
63003,2015,0.2,0.2
63003,2016,0.4,0.466666666666667
63003,2017,0.4,0.333333333333333
63003,2018,0.2,0.2
63003,2019,0.4,0.466666666666667
63003,2020,0.4,0.333333333333333
63003,2021,0.2,0.2
63003,2022,0.2,0.133333333333333
63003,2023,0.4,0.4
63003,2024,0.2,0.266666666666667
63004,2014,0.4,0.333333333333333
63004,2015,0.2,0.2
63004,2016,0.4,0.466666666666667
63004,2017,0.4,0.333333333333333
63004,2018,0.2,0.2
63004,2019,0.4,0.466666666666667
63004,2020,0.4,0.333333333333333
63004,2021,0.2,0.2
63004,2022,0.2,0.133333333333333
63004,2023,0.4,0.4
63004,2024,0.2,0.266666666666667
63008,2014,0.4,0.333333333333333
63008,2015,0.2,0.2
63008,2016,0.4,0.466666666666667
63008,2017,0.4,0.333333333333333
63008,2018,0.2,0.2
63008,2019,0.4,0.466666666666667
63008,2020,0.4,0.333333333333333
63008,2021,0.2,0.2
63008,2022,0.2,0.133333333333333
63008,2023,0.4,0.4
63008,2024,0.2,0.266666666666667
63009,2014,0.4,0.466666666666667
63009,2015,0.4,0.333333333333333
63009,2016,0.2,0.2
63009,2017,0.4,0.466666666666667
63009,2018,0.4,0.333333333333333
63009,2019,0.2,0.2
63009,2020,0.4,0.466666666666667
63009,2021,0.4,0.333333333333333
63009,2022,0.2,0.2
63009,2023,0.2,0.133333333333333
63009,2024,0.4,0.4
63011,2014,0.2,0.0666666666666667
63011,2015,0,0
63011,2016,0.2,0.333333333333333
63011,2017,0.2,0.266666666666667
63011,2018,0.2,0.2
63011,2019,0.4,0.466666666666667
63011,2020,0.4,0.333333333333333
63011,2021,0.4,0.533333333333333
63011,2022,0.4,0.4
63011,2023,0.6,0.6
63011,2024,0.4,0.4
63014,2014,0.2,0.0666666666666667
63014,2015,0,0
63014,2016,0.2,0.333333333333333
63014,2017,0.2,0.266666666666667
63014,2018,0.2,0.2
63014,2019,0.4,0.466666666666667
63014,2020,0.4,0.333333333333333
63014,2021,0.2,0.2
63014,2022,0.4,0.466666666666667
63014,2023,0.4,0.333333333333333
63014,2024,0.2,0.2
63016,2014,0.4,0.466666666666667
63016,2015,0.4,0.333333333333333
63016,2016,0.2,0.2
63016,2017,0.4,0.466666666666667
63016,2018,0.4,0.333333333333333
63016,2019,0.2,0.2
63016,2020,0.4,0.466666666666667
63016,2021,0.4,0.333333333333333
63016,2022,0.2,0.2
63016,2023,0.2,0.133333333333333
63016,2024,0.4,0.4
63017,2014,0.4,0.466666666666667
63017,2015,0.4,0.333333333333333
63017,2016,0.2,0.2
63017,2017,0.4,0.466666666666667
63017,2018,0.4,0.333333333333333
63017,2019,0.2,0.2
63017,2020,0.2,0.133333333333333
63017,2021,0.4,0.4
63017,2022,0.2,0.266666666666667
63017,2023,0.4,0.533333333333333
63017,2024,0.4,0.4
63018,2014,0.2,0.2
63018,2015,0.2,0.133333333333333
63018,2016,0.2,0.0666666666666667
63018,2017,0,0
63018,2018,0,0
63018,2019,0,0
63018,2020,0.2,0.333333333333333
63018,2021,0.2,0.266666666666667
63018,2022,0.2,0.2
63018,2023,0.2,0.133333333333333
63018,2024,0.4,0.4
63019,2014,0.2,0.2
63019,2015,0.2,0.133333333333333
63019,2016,0.4,0.4
63019,2017,0.2,0.266666666666667
63019,2018,0.2,0.2
63019,2019,0.4,0.466666666666667
63019,2020,0.4,0.333333333333333
63019,2021,0.4,0.533333333333333
63019,2022,0.6,0.733333333333333
63019,2023,0.6,0.533333333333333
63019,2024,0.4,0.333333333333333
63020,2014,0.4,0.4
63020,2015,0.2,0.266666666666667
63020,2016,0.2,0.2
63020,2017,0.4,0.466666666666667
63020,2018,0.4,0.333333333333333
63020,2019,0.2,0.2
63020,2020,0.4,0.466666666666667
63020,2021,0.4,0.333333333333333
63020,2022,0.2,0.2
63020,2023,0.2,0.133333333333333
63020,2024,0.4,0.4
63022,2014,0.4,0.333333333333333
63022,2015,0.2,0.2
63022,2016,0.4,0.466666666666667
63022,2017,0.4,0.333333333333333
63022,2018,0.2,0.2
63022,2019,0.4,0.466666666666667
63022,2020,0.4,0.333333333333333
63022,2021,0.4,0.533333333333333
63022,2022,0.4,0.4
63022,2023,0.6,0.6
63022,2024,0.4,0.4
63088,2014,0.2,0.266666666666667
63088,2015,0.2,0.2
63088,2016,0.2,0.133333333333333
63088,2017,0.2,0.0666666666666667
63088,2018,0,0
63088,2019,0.2,0.333333333333333
63088,2020,0.2,0.266666666666667
63088,2021,0.2,0.2
63088,2022,0.2,0.133333333333333
63088,2023,0.2,0.0666666666666667
63088,2024,0,0
63089,2014,0,0
63089,2015,0.2,0.333333333333333
63089,2016,0.2,0.266666666666667
63089,2017,0.2,0.2
63089,2018,0.2,0.133333333333333
63089,2019,0.2,0.0666666666666667
63089,2020,0.2,0.333333333333333
63089,2021,0.2,0.266666666666667
63089,2022,0.2,0.2
63089,2023,0.4,0.466666666666667
63089,2024,0.4,0.333333333333333
63090,2014,0.2,0.0666666666666667
63090,2015,0,0
63090,2016,0.2,0.333333333333333
63090,2017,0.2,0.266666666666667
63090,2018,0.2,0.2
63090,2019,0.2,0.133333333333333
63090,2020,0.4,0.4
63090,2021,0.2,0.266666666666667
63090,2022,0.2,0.2
63090,2023,0.2,0.133333333333333
63090,2024,0.2,0.0666666666666667
63091,2014,0.4,0.6
63091,2015,0.4,0.466666666666667
63091,2016,0.4,0.333333333333333
63091,2017,0.6,0.533333333333333
63091,2018,0.4,0.333333333333333
63091,2019,0.2,0.2
63091,2020,0.2,0.133333333333333
63091,2021,0.2,0.0666666666666667
63091,2022,0,0
63091,2023,0,0
63091,2024,0,0
63093,2014,0.2,0.2
63093,2015,0.2,0.133333333333333
63093,2016,0.4,0.4
63093,2017,0.2,0.266666666666667
63093,2018,0.2,0.2
63093,2019,0.4,0.466666666666667
63093,2020,0.4,0.333333333333333
63093,2021,0.2,0.2
63093,2022,0.2,0.133333333333333
63093,2023,0.4,0.4
63093,2024,0.2,0.266666666666667
63097,2014,0.2,0.266666666666667
63097,2015,0.2,0.2
63097,2016,0.2,0.133333333333333
63097,2017,0.4,0.4
63097,2018,0.2,0.266666666666667
63097,2019,0.2,0.2
63097,2020,0.2,0.133333333333333
63097,2021,0.2,0.0666666666666667
63097,2022,0.2,0.333333333333333
63097,2023,0.2,0.266666666666667
63097,2024,0.2,0.2
63100,2014,0.2,0.133333333333333
63100,2015,0.2,0.0666666666666667
63100,2016,0,0
63100,2017,0,0
63100,2018,0.2,0.333333333333333
63100,2019,0.2,0.266666666666667
63100,2020,0.2,0.2
63100,2021,0.4,0.466666666666667
63100,2022,0.4,0.333333333333333
63100,2023,0.2,0.2
63100,2024,0.4,0.466666666666667
63104,2014,0,0
63104,2015,0.2,0.333333333333333
63104,2016,0.2,0.266666666666667
63104,2017,0.2,0.2
63104,2018,0.4,0.466666666666667
63104,2019,0.4,0.333333333333333
63104,2020,0.2,0.2
63104,2021,0.4,0.466666666666667
63104,2022,0.4,0.333333333333333
63104,2023,0.2,0.2
63104,2024,0.4,0.466666666666667
63105,2014,0.2,0.333333333333333
63105,2015,0.2,0.266666666666667
63105,2016,0.2,0.2
63105,2017,0.2,0.133333333333333
63105,2018,0.4,0.4
63105,2019,0.2,0.266666666666667
63105,2020,0.2,0.2
63105,2021,0.2,0.133333333333333
63105,2022,0.4,0.4
63105,2023,0.2,0.266666666666667
63105,2024,0.2,0.2
63106,2014,0.2,0.266666666666667
63106,2015,0.2,0.2
63106,2016,0.2,0.133333333333333
63106,2017,0.2,0.0666666666666667
63106,2018,0,0
63106,2019,0.2,0.333333333333333
63106,2020,0.2,0.266666666666667
63106,2021,0.2,0.2
63106,2022,0.4,0.466666666666667
63106,2023,0.6,0.666666666666667
63106,2024,0.4,0.466666666666667
63110,2014,0.4,0.466666666666667
63110,2015,0.4,0.333333333333333
63110,2016,0.2,0.2
63110,2017,0.4,0.466666666666667
63110,2018,0.4,0.333333333333333
63110,2019,0.2,0.2
63110,2020,0.2,0.133333333333333
63110,2021,0.2,0.0666666666666667
63110,2022,0.2,0.333333333333333
63110,2023,0.2,0.266666666666667
63110,2024,0.2,0.2
63111,2014,0.4,0.466666666666667
63111,2015,0.4,0.333333333333333
63111,2016,0.2,0.2
63111,2017,0.4,0.466666666666667
63111,2018,0.4,0.333333333333333
63111,2019,0.2,0.2
63111,2020,0.2,0.133333333333333
63111,2021,0.4,0.4
63111,2022,0.4,0.6
63111,2023,0.4,0.466666666666667
63111,2024,0.4,0.333333333333333
63112,2014,0.4,0.466666666666667
63112,2015,0.4,0.333333333333333
63112,2016,0.2,0.2
63112,2017,0.2,0.133333333333333
63112,2018,0.2,0.0666666666666667
63112,2019,0,0
63112,2020,0,0
63112,2021,0.2,0.333333333333333
63112,2022,0.2,0.266666666666667
63112,2023,0.2,0.2
63112,2024,0.4,0.466666666666667
63118,2014,0,0
63118,2015,0,0
63118,2016,0,0
63118,2017,0,0
63118,2018,0,0
63118,2019,0,0
63118,2020,0,0
63118,2021,0,0
63118,2022,0,0
63118,2023,0,0
63118,2024,0.2,0.333333333333333
63119,2014,0.2,0.2
63119,2015,0.2,0.133333333333333
63119,2016,0.4,0.4
63119,2017,0.2,0.266666666666667
63119,2018,0.2,0.2
63119,2019,0.2,0.133333333333333
63119,2020,0.2,0.0666666666666667
63119,2021,0,0
63119,2022,0.2,0.333333333333333
63119,2023,0.2,0.266666666666667
63119,2024,0.4,0.533333333333333
63128,2014,0.2,0.0666666666666667
63128,2015,0,0
63128,2016,0,0
63128,2017,0.2,0.333333333333333
63128,2018,0.2,0.266666666666667
63128,2019,0.2,0.2
63128,2020,0.4,0.466666666666667
63128,2021,0.4,0.333333333333333
63128,2022,0.2,0.2
63128,2023,0.4,0.466666666666667
63128,2024,0.4,0.333333333333333
63129,2014,0.2,0.0666666666666667
63129,2015,0,0
63129,2016,0,0
63129,2017,0.2,0.333333333333333
63129,2018,0.2,0.266666666666667
63129,2019,0.2,0.2
63129,2020,0.2,0.133333333333333
63129,2021,0.4,0.4
63129,2022,0.2,0.266666666666667
